trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
61,16,"(32, 64, 128)","(32, 64)",64,0.0001,2,0.9285075664520264,0.00023234507534652948,0.39749017357826233,100
62,16,"(32, 64, 128)","(32, 64, 128)",64,0.0001,3,0.9355313181877136,0.00024239521007984877,0.3937993049621582,100
63,16,"(32, 64, 128)","(32, 64, 128, 256)",64,0.0001,4,0.9392378926277161,0.00024829889298416674,0.3880285918712616,100
64,16,"(32, 64, 128)","(32, 64)",128,0.01,2,0.9289258122444153,0.00026592990616336465,0.4285223186016083,23
65,16,"(32, 64, 128)","(32, 64, 128)",128,0.01,3,0.9308151602745056,0.0003599670308176428,0.5175727009773254,29
66,16,"(32, 64, 128)","(32, 64, 128, 256)",128,0.01,4,0.9283344745635986,0.00042442974518053234,0.5886163711547852,31
67,16,"(32, 64, 128)","(32, 64)",128,0.001,2,0.9404205679893494,0.00020819013298023492,0.3468239903450012,42
68,16,"(32, 64, 128)","(32, 64, 128)",128,0.001,3,0.9392955899238586,0.00022123513917904347,0.3600185215473175,38
69,16,"(32, 64, 128)","(32, 64, 128, 256)",128,0.001,4,0.9415022730827332,0.00021843028662260622,0.35554131865501404,55
70,16,"(32, 64, 128)","(32, 64)",128,0.0001,2,0.9335842728614807,0.0002281795459566638,0.38231977820396423,100
71,16,"(32, 64, 128)","(32, 64, 128)",128,0.0001,3,0.9379398822784424,0.00024256075266748667,0.3881799578666687,100
72,16,"(32, 64, 128)","(32, 64, 128, 256)",128,0.0001,4,0.940809965133667,0.000252318917773664,0.3899063766002655,100
73,16,"(64, 128, 256)","(64, 128)",16,0.01,2,0.9083881378173828,0.00032056617783382535,0.5350339412689209,18
74,16,"(64, 128, 256)","(64, 128, 256)",16,0.01,3,0.5112928152084351,0.04335285350680351,44.045310974121094,12
75,16,"(64, 128, 256)","(64, 128, 256, 512)",16,0.01,4,0.9086477160453796,0.00041364412754774094,0.6267113089561462,44
76,16,"(64, 128, 256)","(64, 128)",16,0.001,2,0.9312622547149658,0.000203287010663189,0.36448773741722107,36
77,16,"(64, 128, 256)","(64, 128, 256)",16,0.001,3,0.9373052716255188,0.00020793387375306338,0.35706883668899536,41
78,16,"(64, 128, 256)","(64, 128, 256, 512)",16,0.001,4,0.94010329246521,0.00022422579058911651,0.37376561760902405,32
79,16,"(64, 128, 256)","(64, 128)",16,0.0001,2,0.9235317707061768,0.0002163801109418273,0.3973377048969269,100
80,16,"(64, 128, 256)","(64, 128, 256)",16,0.0001,3,0.9335121512413025,0.00021814779029227793,0.3789342939853668,100
81,16,"(64, 128, 256)","(64, 128, 256, 512)",16,0.0001,4,0.9378821849822998,0.00021572626428678632,0.36457958817481995,100
82,16,"(64, 128, 256)","(64, 128)",32,0.01,2,0.9278441071510315,0.00026936776703223586,0.43104156851768494,27
83,16,"(64, 128, 256)","(64, 128, 256)",32,0.01,3,0.9124264717102051,0.0004186992300674319,0.6179603934288025,22
84,16,"(64, 128, 256)","(64, 128, 256, 512)",32,0.01,4,0.8332900404930115,0.0012798728421330452,1.6274045705795288,27
85,16,"(64, 128, 256)","(64, 128)",32,0.001,2,0.936295747756958,0.00020301640324760228,0.35120758414268494,39
86,16,"(64, 128, 256)","(64, 128, 256)",32,0.001,3,0.938704252243042,0.00021488293714355677,0.35834553837776184,32
87,16,"(64, 128, 256)","(64, 128, 256, 512)",32,0.001,4,0.938574492931366,0.00026758856256492436,0.41069960594177246,22
88,16,"(64, 128, 256)","(64, 128)",32,0.0001,2,0.9293584823608398,0.00021310083684511483,0.3763275146484375,100
89,16,"(64, 128, 256)","(64, 128, 256)",32,0.0001,3,0.9354014992713928,0.00022493524011224508,0.3781569004058838,80
90,16,"(64, 128, 256)","(64, 128, 256, 512)",32,0.0001,4,0.9371466636657715,0.0002405784762231633,0.3920675814151764,65
91,16,"(64, 128, 256)","(64, 128)",64,0.01,2,0.9276422262191772,0.00031334353843703866,0.48212817311286926,27
92,16,"(64, 128, 256)","(64, 128, 256)",64,0.01,3,0.9214838147163391,0.00045981933362782,0.6390741467475891,31
93,16,"(64, 128, 256)","(64, 128, 256, 512)",64,0.01,4,0.8869851231575012,0.0005168369389139116,0.7898005247116089,17
94,16,"(64, 128, 256)","(64, 128)",64,0.001,2,0.9375649094581604,0.00019981400691904128,0.34550800919532776,38
95,16,"(64, 128, 256)","(64, 128, 256)",64,0.001,3,0.9388340711593628,0.00021666826796717942,0.35755136609077454,30
