trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
130,32,"(16, 32, 64)","(16, 32)",64,0.001,2,0.9324593544006348,0.00023052608594298363,0.383039265871048,45
131,32,"(16, 32, 64)","(16, 32, 64)",64,0.001,3,0.9414301514625549,0.00022703157446812838,0.3623436689376831,62
132,32,"(16, 32, 64)","(16, 32, 64, 128)",64,0.001,4,0.9383725523948669,0.0002575035614427179,0.4083501100540161,33
133,32,"(16, 32, 64)","(16, 32)",64,0.0001,2,0.9238635301589966,0.00025276592350564897,0.4240294098854065,149
134,32,"(16, 32, 64)","(16, 32, 64)",64,0.0001,3,0.9367284178733826,0.0002844625851139426,0.42751821875572205,200
135,32,"(16, 32, 64)","(16, 32, 64, 128)",64,0.0001,4,0.9417906999588013,0.00025874085258692503,0.3921378254890442,200
136,32,"(16, 32, 64)","(16, 32)",128,0.01,2,0.9297767281532288,0.00028181716334074736,0.44484689831733704,28
137,32,"(16, 32, 64)","(16, 32, 64)",128,0.01,3,0.89348965883255,0.0005725787486881018,0.8083152174949646,18
138,32,"(16, 32, 64)","(16, 32, 64, 128)",128,0.01,4,0.9115033745765686,0.0005062551936134696,0.6992039680480957,35
139,32,"(16, 32, 64)","(16, 32)",128,0.001,2,0.9381129741668701,0.00022885175712872297,0.36804914474487305,50
140,32,"(16, 32, 64)","(16, 32, 64)",128,0.001,3,0.9389350414276123,0.0002406714775133878,0.3859885036945343,39
141,32,"(16, 32, 64)","(16, 32, 64, 128)",128,0.001,4,0.9393965601921082,0.00026604507002048194,0.4109654426574707,37
142,32,"(16, 32, 64)","(16, 32)",128,0.0001,2,0.925132691860199,0.00024607431259937584,0.4137549102306366,159
143,32,"(16, 32, 64)","(16, 32, 64)",128,0.0001,3,0.9398725032806396,0.00025765434838831425,0.3956024944782257,189
144,32,"(16, 32, 64)","(16, 32, 64, 128)",128,0.0001,4,0.9389783143997192,0.0003050558443646878,0.4456012547016144,117
145,32,"(32, 64, 128)","(32, 64)",16,0.01,2,0.9133783578872681,0.000316964607918635,0.5122337341308594,26
146,32,"(32, 64, 128)","(32, 64, 128)",16,0.01,3,0.9246567487716675,0.0003819481935352087,0.5590986013412476,40
147,32,"(32, 64, 128)","(32, 64, 128, 256)",16,0.01,4,0.9076670408248901,0.0004795838613063097,0.6864898800849915,38
148,32,"(32, 64, 128)","(32, 64)",16,0.001,2,0.9342188835144043,0.0002139794232789427,0.36244651675224304,54
149,32,"(32, 64, 128)","(32, 64, 128)",16,0.001,3,0.9394975304603577,0.00020724347268696874,0.3486993610858917,51
