model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,best_val_loss,test_loss,clf_accuracy,photon_err_pct,neutron_err_pct,composite_score,train_time_s,filters,spatial
cnn,2,swish,sigmoid,0.2,0.001,True,0.1,adamw,0.0001,512,mae,,,,3.0,3.0,64.0,constant,,55299,23,0.031602758914232254,0.03156864270567894,0.9843656852752831,1.9131120086690965,1.2301162506807894,0.023618536819474567,38.0,"[64, 64, 64]",13.0
cnn,2,swish,sigmoid,0.1,0.001,True,0.0,adamw,0.001,1024,mse,,,,2.0,5.0,16.0,double,,9763,22,0.0024770016316324472,0.002474504755809903,0.9832022461106518,2.017535218205103,1.3578229759423066,0.00963737776049034,18.5,"[16, 32]",26.0
dense,32,elu,linear,0.2,1e-05,False,0.0,adam,0.001,256,mae,5.0,64.0,funnel,,,,,"[128, 128, 64, 32, 32]",84872,23,0.03064313717186451,0.030612913891673088,0.984404146074114,1.8993202640133977,1.2357503709129154,0.02311949554887527,39.5,,
dense,4,swish,linear,0.3,0.0001,True,0.02,adamw,0.0001,512,mse,3.0,128.0,funnel,,,,,"[8, 8, 8]",2332,25,0.003271255409345031,0.0032632932998239994,0.9824234149343282,1.7850458082947491,1.7315529513399814,0.010423920237508433,24.1,,
dense,8,relu,linear,0.3,0.001,False,0.0,adamw,0.001,256,huber,1.0,256.0,linear,,,,,[256],57968,24,0.0012271103914827108,0.0012253798777237535,0.9836830060960366,1.9446359964535513,1.3334084549364282,0.00877205214772303,28.9,,
dense,16,elu,linear,0.3,1e-05,False,0.1,adam,0.001,1024,mae,5.0,64.0,geometric,,,,,"[64, 32, 32, 32, 32]",25080,23,0.035589881241321564,0.03551884740591049,0.9833464741062672,2.2441138804058713,1.113677765883524,0.026121703567527188,16.8,,
dense,16,swish,sigmoid,0.2,0.0001,True,0.1,adamw,0.001,1024,huber,1.0,128.0,geometric,,,,,[128],32120,17,0.0009631809662096202,0.0009624837548471987,0.9890482875329321,1.0284701014678357,1.15875072774053,0.005957446716638781,11.9,,
cnn,2,swish,linear,0.2,1e-05,True,0.0,nadam,0.0003,512,mse,,,,3.0,3.0,64.0,double,,265987,25,0.002396703464910388,0.002394275041297078,0.9838176188919444,1.9328145010343807,1.3183841343174263,0.009289542286482988,45.6,"[64, 128, 256]",13.0
cnn,32,swish,linear,0.1,0.0,True,0.05,adam,0.001,512,mae,,,,2.0,5.0,32.0,double,,129633,23,0.021665841341018677,0.021653709933161736,0.990163650699025,1.0028568613929663,0.9653125997708791,0.015751095320996833,27.8,"[32, 64]",26.0
dense,4,elu,sigmoid,0.2,0.0,False,0.05,nadam,0.0003,1024,mse,2.0,64.0,geometric,,,,,"[64, 32]",17964,25,0.0023192213848233223,0.0023158981930464506,0.9863656468144844,1.5289134075460544,1.2057017296749113,0.007976787285169484,13.7,,
dense,16,relu,linear,0.2,1e-05,True,0.05,nadam,0.003,256,huber,2.0,128.0,linear,,,,,"[128, 32]",37560,20,0.0011586988111957908,0.0011566206812858582,0.9867406396030846,1.5564968968574524,1.106165605574023,0.007209029604055617,35.8,,
